filename, number_of_jobs, number_of_machines, algorithm, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, execution_time.ms, result
50_20_04, 50, 20, ii, 1, random, i, 575045, tei, 3190, 689680
50_20_04, 50, 20, ii, 1, rz, t, 575045, tei, 5, 687245
50_20_04, 50, 20, ii, 1, rz, e, 575045, tei, 566, 680249
50_20_04, 50, 20, ii, 1, rz, i, 575045, tei, 628, 679033
50_20_05, 50, 20, ii, 0, random, t, 755496, tei, 33, 852236
50_20_05, 50, 20, ii, 0, random, e, 755496, tei, 3952, 670888
50_20_05, 50, 20, ii, 0, random, i, 755496, tei, 11619, 672195
50_20_05, 50, 20, ii, 0, rz, t, 755496, tei, 7, 696543
50_20_05, 50, 20, ii, 0, rz, e, 755496, tei, 614, 675712
50_20_05, 50, 20, ii, 0, rz, i, 755496, tei, 2225, 658600
50_20_05, 50, 20, ii, 1, random, t, 755496, tei, 30, 854659
50_20_05, 50, 20, ii, 1, random, e, 755496, tei, 1276, 678419
50_20_05, 50, 20, ii, 1, random, i, 755496, tei, 2923, 680912
50_20_05, 50, 20, ii, 1, rz, t, 755496, tei, 9, 696543
50_20_05, 50, 20, ii, 1, rz, e, 755496, tei, 640, 667732
50_20_05, 50, 20, ii, 1, rz, i, 755496, tei, 1456, 668382
50_20_06, 50, 20, ii, 0, random, t, 120060, tei, 38, 803385
50_20_06, 50, 20, ii, 0, random, e, 120060, tei, 5096, 656776
50_20_06, 50, 20, ii, 0, random, i, 120060, tei, 9588, 660660
50_20_06, 50, 20, ii, 0, rz, t, 120060, tei, 2, 675913
50_20_06, 50, 20, ii, 0, rz, e, 120060, tei, 138, 665682
50_20_06, 50, 20, ii, 0, rz, i, 120060, tei, 826, 653510
50_20_06, 50, 20, ii, 1, random, t, 120060, tei, 42, 811127
50_20_06, 50, 20, ii, 1, random, e, 120060, tei, 1508, 662155
50_20_06, 50, 20, ii, 1, random, i, 120060, tei, 4136, 653230
50_20_06, 50, 20, ii, 1, rz, t, 120060, tei, 6, 675913
50_20_06, 50, 20, ii, 1, rz, e, 120060, tei, 637, 660114
50_20_06, 50, 20, ii, 1, rz, i, 120060, tei, 1219, 652945
50_20_07, 50, 20, ii, 0, random, t, 582297, tei, 37, 741008
50_20_07, 50, 20, ii, 0, random, e, 582297, tei, 4218, 581653
50_20_07, 50, 20, ii, 0, random, i, 582297, tei, 10683, 572213
50_20_07, 50, 20, ii, 0, rz, t, 582297, tei, 5, 587808
50_20_07, 50, 20, ii, 0, rz, e, 582297, tei, 334, 582314
50_20_07, 50, 20, ii, 0, rz, i, 582297, tei, 1068, 573545
50_20_07, 50, 20, ii, 1, random, t, 582297, tei, 56, 738796
50_20_07, 50, 20, ii, 1, random, e, 582297, tei, 1316, 596088
50_20_07, 50, 20, ii, 1, random, i, 582297, tei, 3366, 586572
50_20_07, 50, 20, ii, 1, rz, t, 582297, tei, 5, 587808
50_20_07, 50, 20, ii, 1, rz, e, 582297, tei, 112, 587808
50_20_07, 50, 20, ii, 1, rz, i, 582297, tei, 1324, 578904
50_20_08, 50, 20, ii, 0, random, t, 578136, tei, 43, 723605
50_20_08, 50, 20, ii, 0, random, e, 578136, tei, 4428, 544877
50_20_08, 50, 20, ii, 0, random, i, 578136, tei, 11508, 537476
50_20_08, 50, 20, ii, 0, rz, t, 578136, tei, 1, 547398
50_20_08, 50, 20, ii, 0, rz, e, 578136, tei, 192, 540051
50_20_08, 50, 20, ii, 0, rz, i, 578136, tei, 461, 542886
50_20_08, 50, 20, ii, 1, random, t, 578136, tei, 72, 719959
50_20_08, 50, 20, ii, 1, random, e, 578136, tei, 1527, 555098
